"Item","Body Length","Horn Length"
1,3449.63,469.62
4,3113.88,217.51
7,3559.51,424.19
10,2941.22,118.12
13,3504.98,306.53
16,3449.12,401.48
19,3814.26,472.35
22,3264.59,256.03
25,3165.55,255.22
28,3364.54,256.32
31,3611.65,441.88
34,3180.09,373.32
37,4340.13,514
40,4729.81,607.22
43,5000.06,686.34
46,3264.73,317.56
49,2863.63,344.12
52,3573.82,462.15
55,3512.56,424.13
58,3771.41,462.45
61,3298.44,291.03
64,3665.84,470.63
67,3594.38,437.17
70,3153.46,393.91
73,3431.68,411.05
76,3438.16,478.61
79,3342.74,404.61
82,3473.76,420.22
85,3838.28,497.85
88,3725.99,482.92
91,3515.19,496.43
94,3349.37,401.23
97,3244.09,385.69
100,3570.06,376.75
103,3738.04,594.84
106,3261.01,234.92
109,3370.18,455.83
112,3321.71,555.8
115,3459.95,387.14
118,3012.03,328.2
121,3571.74,467.75
124,3537.55,402.55
127,3183.69,417.66
130,3184.72,377.23
133,3531.16,444.64
136,3611.53,436.73
139,3763.79,574.7
142,3587.9,476.95
145,3420.42,407.75
148,3365.06,340.28
151,3835.62,570.92
154,3630.69,504.39
157,3608.93,496.68
160,3509.91,426.69
163,3474.62,456.27
166,3671.06,495.26
169,3790.86,512.49
172,3614.57,511.8
175,3265.54,476.48
178,3347.62,266.63
181,3366.55,310.82
184,3568.87,445.56
187,3566.3,395.95
190,3549.29,434.55
193,3786.54,530.13
196,3470.9,421.35
199,3637.32,532.76
202,3430.8,454.15
205,3367.97,407.57
208,3150.62,356.48
211,3255.55,350.38
214,3717.39,530.01
217,3325.48,342.91
220,3956.76,559.34
223,3713.76,464
226,3373.04,339.38
229,3379.17,481.67
232,3430.32,416.76
235,3606.81,527.79
238,3416.14,466.22
241,3635.05,437.98
244,3502.13,361.19
247,3543.13,420.84
250,3259.59,462.48
253,3552.53,438.42
256,3208.12,428.58
259,3255.25,361.87
262,3537.55,449.33
265,3304.96,354.35
268,3540.87,414.19
271,3743.59,498.45
274,3548.29,468.05
277,3615.53,438.13
280,3402.93,353.86
283,3365.85,355.07
286,3423.13,323
289,3908.22,481.36
