inst_key,n_tt_faculty,directory_url,date_counted
tamu,,https://www.bio.tamu.edu/full-directory/faculty-directory/,
purdue,,https://www.bio.purdue.edu/People/,
florida,,https://biology.ufl.edu/people/faculty/,
colostate,,https://www.biology.colostate.edu/directory/,
kstate,,https://www.k-state.edu/biology/about/people/faculty/,
